"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"McCray, Grant",687529,-0.2019174786558785,-0.2019174786558785,0.12234494672594048,-0.32426242538181904,,,,,,220,0,0,0,0,0,39,6,175
"Jankowski, Travis",608671,-0.21130085903697965,-0.21130085903697965,0.5915606248434938,-0.8028614838804736,,,,,,357,0,0,0,0,0,105,36,213
"Crim, Blaine",688760,-0.2213570715694934,-0.2213570715694934,-0.5359628425290606,,0.3146057709595673,,,,,426,0,426,0,0,0,0,0,0
"Avans, Drew",682183,-0.22585216082278464,-0.22585216082278464,-0.8260567985479308,0.6002046377251461,,,,,,129,0,0,0,0,0,108,15,6
"Ruiz, Esteury",665923,-0.23598650348149375,-0.23598650348149375,0.42489596937281304,-0.6608824728543068,,,,,,181,0,0,0,0,0,127,0,54
"Rengifo, Luis",650859,-0.24417714807702479,-0.24417714807702479,-3.4457827011059545,0.9216342177256964,2.2799713353032365,,,,,3522,0,0,1756,1703,6,8,6,43
"Naylor, Bo",666310,-0.27038302257411007,,,,,-0.27038302257411007,-2.9041426383821602,1.5359700821061169,1.097789533701934,2836,2836,0,0,0,0,0,0,0
"McCoy, Mason",669200,-0.2755069251766981,-0.2755069251766981,-0.0833514714740203,,-0.19215545370267778,,,,,192,0,0,54,0,138,0,0,0
"Davis, J.D.",605204,-0.2784994153043773,-0.2784994153043773,-0.4880392796016544,,0.2095398642972771,,,,,72,0,48,0,24,0,0,0,0
"Jackson, Jeremiah",669236,-0.2959353995056567,-0.2959353995056567,-2.1567481162821194,1.90234169431748,-0.041528977541014866,,,,,1005,0,0,3,252,0,0,0,750
"LeMahieu, DJ",518934,-0.29719926049776996,-0.29719926049776996,-0.5018195265676064,,0.20462026606983585,,,,,972,0,0,972,0,0,0,0,0
"Robertson, Will",683770,-0.2979498738405687,-0.2979498738405687,0.21934673518689282,-0.5172966090274608,,,,,,524,0,0,0,0,0,416,6,102
"Turang, Brice",668930,-0.3018121192522847,-0.3018121192522847,-2.3536805529342435,0.5142486996458973,1.5376197340360622,,,,,3987,0,0,3962,0,25,0,0,0
"Huff, Sam",669087,-0.30779037791531844,,,,,-0.30779037791531844,1.1065578276842978,-0.2902920068408533,-1.1240561987587625,445,445,0,0,0,0,0,0,0
"Thomas, Lane",657041,-0.3216312420472838,-0.3216312420472838,-1.4963270114088227,1.174695769361539,,,,,,871,0,0,0,0,0,0,853,18
"Schunk, Aaron",668845,-0.32410280648786244,-0.32410280648786244,-0.1650192256117971,,-0.1590835808760655,,,,,271,0,0,69,42,160,0,0,0
"Margot, Manuel",622534,-0.3253939337206887,-0.3253939337206887,0.08249906588032792,-0.40789299960101666,,,,,,124,0,0,0,0,0,0,0,124
"Walton, Donovan",622268,-0.32675294637541064,-0.32675294637541064,-0.32675294637541064,,,,,,,54,0,0,54,0,0,0,0,0
"Fitzgerald, Tyler",666149,-0.33482985386941655,-0.33482985386941655,-0.33294492240729423,-0.0004421068005272264,-0.0014428246615958568,,,,,1748,0,0,1685,0,0,0,0,63
"Malloy, Justyn-Henry",669234,-0.3521037186071106,-0.3521037186071106,-0.3351771365525723,-0.01672956108865839,-0.00019702096587990729,,,,,267,0,6,0,0,0,18,0,243
"Yoshida, Masataka",807799,-0.3624582995159636,-0.3624582995159636,0.027000000000000024,-0.38945829951596367,,,,,,123,0,0,0,0,0,99,0,24
"Devanney, Cam",687478,-0.3799536026639072,-0.3799536026639072,-0.3799536026639072,,0,,,,,282,0,0,0,282,0,0,0,0
"Bae, Ji Hwan",678225,-0.38132169181236714,-0.38132169181236714,0.19488564208628495,-0.576207333898652,,,,,,179,0,0,0,0,0,96,59,24
"McNeil, Jeff",643446,-0.38679605128462596,-0.38679605128462596,0.8974904183903003,-0.4236746708257221,-0.860611798849205,,,,,2610,0,6,1727,0,0,178,627,72
"Brooks, Trenton",670092,-0.392048011242202,-0.392048011242202,0.056700000000000056,-0.4487480112422021,,,,,,15,0,0,0,0,0,15,0,0
"De La Cruz, Bryan",650559,-0.395101013528764,-0.395101013528764,-0.309754004581379,-0.08534700894738444,,,,,,273,0,0,0,0,0,270,0,3
"Jensen, Carter",695600,-0.40686936387210604,,,,,-0.40686936387210604,-0.19384996710865054,0.30112053327936217,-0.5141399300428178,200,200,0,0,0,0,0,0,0
"Cabrera, Oswaldo",665828,-0.4190625840505572,-0.4190625840505572,-1.0892650905922558,,0.6702025065416977,,,,,813,0,9,0,798,0,3,0,3
"Trammell, Taylor",666211,-0.43554518936181075,-0.43554518936181075,0.8661403772610465,-1.3016855666228586,,,,,,907,0,0,0,0,0,404,472,31
"Rivera, Emmanuel",656896,-0.4358243901048491,-0.4358243901048491,-0.1977028930035164,,-0.2381214971013323,,,,,806,0,132,0,671,0,0,0,0
"Stowers, Kyle",669065,-0.44511093358385084,-0.44511093358385084,-2.4238100017216184,1.978699068137757,,,,,,2571,0,0,0,0,0,1625,171,775
"Mullins, Cedric",656775,-0.4480835443231509,-0.4480835443231509,3.93115141927978,-4.379234963602936,,,,,,3193,0,0,0,0,0,0,3193,0
